Subject,Age,Sex
A00031145,18,1
A00037582,37,1
A00038998,26,1
A00039866,12,2
A00034350,11,1
A00030989,30,2
A00037768,41,2
A00032875,37,2
A00037118,27,1
A00035840,25,2
A00028858,80,1
A00035625,49,2
A00037831,49,2
A00039943,15,2
A00037457,55,2
A00039669,61,2
A00034854,21,2
A00030990,66,2
A00031452,50,1
A00027443,15,1
A00037112,35,2
A00037866,37,1
A00044369,66,1
A00040944,35,1
A00028625,73,1
A00037122,27,1
A00028766,19,1
A00040806,45,1
A00044405,49,2
A00039952,65,2
A00043739,49,2
A00037635,59,1
A00037784,41,1
A00035291,13,2
A00038520,62,2
A00028552,61,2
A00035951,44,1
A00043634,58,2
A00040517,61,1
A00039159,18,2
A00038623,42,2
A00035940,16,1
A00029092,20,2
A00044068,79,2
A00040740,23,1
A00043509,23,1
A00035827,36,1
A00040741,66,2
A00035869,12,2
A00034827,47,1
A00031629,15,1
A00043790,49,2
A00040091,60,2
A00031604,25,2
A00044171,18,2
A00033752,65,2
A00028605,59,1
A00037198,31,2
A00033248,21,1
A00040493,45,2
A00032864,11,1
A00031167,47,2
A00035796,48,1
A00028246,55,2
A00043324,46,2
A00031411,9,2
A00039820,57,2
A00033640,21,1
A00037170,30,1
A00031549,23,2
A00039041,60,2
A00038522,25,1
A00038616,29,1
A00028389,61,1
A00041503,8,1
A00037111,52,2
A00039463,25,2
A00031459,20,1
A00035945,13,1
A00039391,37,2
A00039846,58,2
A00040152,76,1
A00035608,24,1
A00039074,47,2
A00010893,28,1
A00028606,22,1
A00028994,54,2
A00031832,12,1
A00027544,22,1
A00043677,25,1
A00030980,13,2
A00033714,15,1
A00031893,51,2
A00035363,22,1
A00040567,65,2
A00039988,73,1
A00035364,12,1
A00043325,56,1
A00035553,23,1
A00033962,65,1
A00040225,63,1
A00028754,42,2
A00037588,57,1
A00039923,72,2
A00028287,21,2
A00040599,61,2
A00031410,9,2
A00040524,25,2
A00040312,66,1
A00035072,36,2
A00039783,74,1
A00032007,20,1
A00035535,43,2
A00028784,43,2
A00040311,66,2
